inv,product_desc,qty,InvoiceDate,raw_price,provider,country_name
536370,ALARM CLOCK BAKELIKE PINK,24,12/01/2010 08:45,3.75,12583,France
536370,ALARM CLOCK BAKELIKE RED ,24,12/01/2010 08:45,3.75,12583,France
536370,ALARM CLOCK BAKELIKE GREEN,12,12/01/2010 08:45,3.75,12583,France
536370,PANDA AND BUNNIES STICKER SHEET,12,12/01/2010 08:45,0.85,12583,France
536370,STARS GIFT TAPE ,24,12/01/2010 08:45,0.65,12583,France
536370,INFLATABLE POLITICAL GLOBE ,48,12/01/2010 08:45,0.85,12583,France
536370,VINTAGE HEADS AND TAILS CARD GAME ,24,12/01/2010 08:45,1.25,12583,France
536370,SET/2 RED RETROSPOT TEA TOWELS ,18,12/01/2010 08:45,2.95,12583,France
536370,ROUND SNACK BOXES SET OF4 WOODLAND ,24,12/01/2010 08:45,2.95,12583,France
536370,SPACEBOY LUNCH BOX ,24,12/01/2010 08:45,1.95,12583,France
536370,LUNCH BOX I LOVE LONDON,24,12/01/2010 08:45,1.95,12583,France
536370,CIRCUS PARADE LUNCH BOX ,24,12/01/2010 08:45,1.95,12583,France
536370,CHARLOTTE BAG DOLLY GIRL DESIGN,20,12/01/2010 08:45,0.85,12583,France
536370,RED TOADSTOOL LED NIGHT LIGHT,24,12/01/2010 08:45,1.65,12583,France
536370, SET 2 TEA TOWELS I LOVE LONDON ,24,12/01/2010 08:45,2.95,12583,France
536370,VINTAGE SEASIDE JIGSAW PUZZLES,12,12/01/2010 08:45,3.75,12583,France
536370,MINI JIGSAW CIRCUS PARADE ,24,12/01/2010 08:45,0.42,12583,France
536370,MINI JIGSAW SPACEBOY,24,12/01/2010 08:45,0.42,12583,France
536370,MINI PAINT SET VINTAGE ,36,12/01/2010 08:45,0.65,12583,France
536370,POSTAGE,3,12/01/2010 08:45,18,12583,France
536389,CHRISTMAS LIGHTS 10 REINDEER,6,12/01/2010 10:03,8.5,12431,Australia
536389,VINTAGE UNION JACK CUSHION COVER,8,12/01/2010 10:03,4.95,12431,Australia
536389,VINTAGE HEADS AND TAILS CARD GAME ,12,12/01/2010 10:03,1.25,12431,Australia
536389,SET OF 3 COLOURED  FLYING DUCKS,6,12/01/2010 10:03,5.45,12431,Australia
536389,SET OF 3 GOLD FLYING DUCKS,4,12/01/2010 10:03,6.35,12431,Australia
536389,RED RETROSPOT UMBRELLA,6,12/01/2010 10:03,5.95,12431,Australia
536389,BLACK/BLUE POLKADOT UMBRELLA,3,12/01/2010 10:03,5.95,12431,Australia
536389,RED DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431,Australia
536389,ALARM CLOCK BAKELIKE GREEN,4,12/01/2010 10:03,3.75,12431,Australia
536389,ALARM CLOCK BAKELIKE RED ,4,12/01/2010 10:03,3.75,12431,Australia
536389,BLUE DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431,Australia
536389,IVORY DINER WALL CLOCK,2,12/01/2010 10:03,8.5,12431,Australia
536389,LARGE HEART MEASURING SPOONS,24,12/01/2010 10:03,1.65,12431,Australia
536389,SMALL HEART MEASURING SPOONS,24,12/01/2010 10:03,0.85,12431,Australia
536403,HAND WARMER BIRD DESIGN,96,12/01/2010 11:27,1.85,12791,Netherlands
536403,POSTAGE,1,12/01/2010 11:27,15,12791,Netherlands
536527,SET OF 6 T-LIGHTS SANTA,6,12/01/2010 13:04,2.95,12662,Germany
536527,ROTATING SILVER ANGELS T-LIGHT HLDR,6,12/01/2010 13:04,2.55,12662,Germany
536527,MULTI COLOUR SILVER T-LIGHT HOLDER,12,12/01/2010 13:04,0.85,12662,Germany
536527,5 HOOK HANGER MAGIC TOADSTOOL,12,12/01/2010 13:04,1.65,12662,Germany
536527,3 HOOK HANGER MAGIC GARDEN,12,12/01/2010 13:04,1.95,12662,Germany
536527,5 HOOK HANGER RED MAGIC TOADSTOOL,12,12/01/2010 13:04,1.65,12662,Germany
536527,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/01/2010 13:04,0.42,12662,Germany
536527,JUMBO BAG WOODLAND ANIMALS,10,12/01/2010 13:04,1.95,12662,Germany
536527,JUMBO BAG OWLS,10,12/01/2010 13:04,1.95,12662,Germany
536527,HOT WATER BOTTLE BABUSHKA ,4,12/01/2010 13:04,4.65,12662,Germany
536527,HOMEMADE JAM SCENTED CANDLES,12,12/01/2010 13:04,1.45,12662,Germany
536527,CHILDREN'S CIRCUS PARADE MUG,12,12/01/2010 13:04,1.65,12662,Germany
536527,PACK 3 FIRE ENGINE/CAR PATCHES,12,12/01/2010 13:04,1.25,12662,Germany
536527,PICTURE DOMINOES,12,12/01/2010 13:04,1.45,12662,Germany
536527,POSTAGE,1,12/01/2010 13:04,18,12662,Germany
536532,BOX OF 24 COCKTAIL PARASOLS,50,12/01/2010 13:24,0.42,12433,Norway
536532,GROW YOUR OWN PLANT IN A CAN ,96,12/01/2010 13:24,1.06,12433,Norway
536532,CHILDREN'S APRON DOLLY GIRL ,8,12/01/2010 13:24,2.1,12433,Norway
536532,RETROSPOT CHILDRENS APRON,8,12/01/2010 13:24,1.95,12433,Norway
536532,PLASTERS IN TIN CIRCUS PARADE ,24,12/01/2010 13:24,1.65,12433,Norway
536532,PLASTERS IN TIN STRONGMAN,36,12/01/2010 13:24,1.65,12433,Norway
536532,PLASTERS IN TIN WOODLAND ANIMALS,24,12/01/2010 13:24,1.65,12433,Norway
536532,PLASTERS IN TIN SKULLS,24,12/01/2010 13:24,1.65,12433,Norway
536532,PLASTERS IN TIN SPACEBOY,24,12/01/2010 13:24,1.65,12433,Norway
536532,MINI JIGSAW DINOSAUR ,24,12/01/2010 13:24,0.42,12433,Norway
536532,MINI JIGSAW SPACEBOY,24,12/01/2010 13:24,0.42,12433,Norway
536532,MINI JIGSAW BAKE A CAKE ,24,12/01/2010 13:24,0.42,12433,Norway
536532,MINI JIGSAW CIRCUS PARADE ,24,12/01/2010 13:24,0.42,12433,Norway
536532,MINI JIGSAW DOLLY GIRL,24,12/01/2010 13:24,0.42,12433,Norway
536532,MAGIC DRAWING SLATE SPACEBOY ,24,12/01/2010 13:24,0.42,12433,Norway
536532,MAGIC DRAWING SLATE DOLLY GIRL ,24,12/01/2010 13:24,0.42,12433,Norway
536532,MAGIC DRAWING SLATE CIRCUS PARADE  ,24,12/01/2010 13:24,0.42,12433,Norway
536532,WOODEN SCHOOL COLOURING SET,24,12/01/2010 13:24,1.65,12433,Norway
536532,PACK OF 12 TRADITIONAL CRAYONS,24,12/01/2010 13:24,0.42,12433,Norway
536532,CARD PARTY GAMES ,12,12/01/2010 13:24,0.42,12433,Norway
536532,BOOZE & WOMEN GREETING CARD ,12,12/01/2010 13:24,0.42,12433,Norway
536532,"FANCY FONT BIRTHDAY CARD, ",12,12/01/2010 13:24,0.42,12433,Norway
536532,CARD CIRCUS PARADE,12,12/01/2010 13:24,0.42,12433,Norway
536532,HAND WARMER SCOTTY DOG DESIGN,12,12/01/2010 13:24,2.1,12433,Norway
536532,HAND WARMER RED RETROSPOT,12,12/01/2010 13:24,2.1,12433,Norway
536532,HAND WARMER OWL DESIGN,12,12/01/2010 13:24,2.1,12433,Norway
